text,category
"I need a copy of my invoice","Billing"
"I was charged twice for my subscription","Billing"
"Can you send me my last bill?","Billing"
"I don’t understand this charge on my account","Billing"
"My payment failed but I was still charged","Billing"
"I need a receipt for my purchase","Billing"
"Why was I billed again this month?","Billing"
"I want to update my billing details","Billing"
"Where can I download my invoice?","Billing"
"My card was charged incorrectly","Billing"
"I need to change my payment method","Billing"
"I see an unknown charge on my account","Billing"
"I was billed after canceling","Billing"
"My subscription price seems wrong","Billing"
"I want a breakdown of my charges","Billing"
"I didn’t receive my invoice","Billing"
"I was charged but didn’t get access","Billing"
"My billing cycle seems incorrect","Billing"
"Can you explain this payment?","Billing"
"I need help with my billing information","Billing"
"My payment is not going through","Billing"
"I was billed twice this week","Billing"
"How do I update my billing address?","Billing"
"I want to remove my saved card","Billing"
"I need a VAT invoice","Billing"
"My invoice has incorrect details","Billing"
"I was overcharged for my plan","Billing"
"I need billing support","Billing"
"I cannot find my payment history","Billing"
"I want to check my last payment","Billing"
"The app crashes when I open it","Technical Issue"
"I get an error when trying to upload a file","Technical Issue"
"The website is not loading properly","Technical Issue"
"My dashboard is blank","Technical Issue"
"I keep getting a server error","Technical Issue"
"The app freezes on startup","Technical Issue"
"I cannot save my changes","Technical Issue"
"The page keeps refreshing unexpectedly","Technical Issue"
"I see a 500 error","Technical Issue"
"The system is very slow","Technical Issue"
"I cannot upload documents","Technical Issue"
"There is a bug in the reporting feature","Technical Issue"
"The login page is broken","Technical Issue"
"I get an unknown error message","Technical Issue"
"The app crashes after login","Technical Issue"
"I cannot access certain features","Technical Issue"
"The search function is not working","Technical Issue"
"I cannot submit the form","Technical Issue"
"The UI looks broken","Technical Issue"
"I cannot download my data","Technical Issue"
"The app is stuck on loading","Technical Issue"
"I receive timeout errors","Technical Issue"
"Notifications are not working","Technical Issue"
"I cannot connect to the server","Technical Issue"
"The API is returning errors","Technical Issue"
"My data is not updating","Technical Issue"
"I get logged out randomly","Technical Issue"
"The export function fails","Technical Issue"
"I cannot complete the checkout","Technical Issue"
"The system crashes frequently","Technical Issue"
"I can’t log into my account","Account Access"
"I forgot my password","Account Access"
"The password reset link does not work","Account Access"
"My account is locked","Account Access"
"I cannot access my profile","Account Access"
"I am unable to sign in","Account Access"
"I need help resetting my password","Account Access"
"My login credentials are not working","Account Access"
"I cannot verify my email","Account Access"
"My account was disabled","Account Access"
"I cannot access my dashboard","Account Access"
"The login page says invalid credentials","Account Access"
"I am stuck in a login loop","Account Access"
"I cannot change my password","Account Access"
"My account access is restricted","Account Access"
"I am not receiving the reset email","Account Access"
"I cannot log in from my device","Account Access"
"My account was suspended","Account Access"
"I need help accessing my account","Account Access"
"I cannot complete login verification","Account Access"
"I am locked out of my account","Account Access"
"The login code is not working","Account Access"
"I cannot access my subscription","Account Access"
"My account disappeared","Account Access"
"I am having trouble signing in","Account Access"
"I need to unlock my account","Account Access"
"My email is not recognized","Account Access"
"I cannot log in after updating password","Account Access"
"I lost access to my account","Account Access"
"The authentication fails","Account Access"
"I want a refund for my purchase","Refund Request"
"I would like to get my money back","Refund Request"
"I am not satisfied and want a refund","Refund Request"
"Please refund my payment","Refund Request"
"I was charged and want a refund","Refund Request"
"I need a refund for this order","Refund Request"
"I want to cancel and get refunded","Refund Request"
"This product did not meet expectations, refund please","Refund Request"
"I was billed incorrectly and want my money back","Refund Request"
"I would like to request a refund","Refund Request"
"I want a full refund","Refund Request"
"I need to return this and get refunded","Refund Request"
"Please process my refund","Refund Request"
"I changed my mind, refund me","Refund Request"
"I want to cancel my subscription and get a refund","Refund Request"
"I am requesting a refund immediately","Refund Request"
"I want my payment back","Refund Request"
"I need a refund for the last charge","Refund Request"
"Refund this transaction","Refund Request"
"I would like my money returned","Refund Request"
"I am unhappy and want a refund","Refund Request"
"I want to reverse this payment","Refund Request"
"I need to cancel and get my money back","Refund Request"
"I am asking for a refund","Refund Request"
"I want a reimbursement","Refund Request"
"Refund my subscription","Refund Request"
"I want to undo this payment","Refund Request"
"I expect a refund","Refund Request"
"I want my funds returned","Refund Request"
"I need help getting a refund","Refund Request"
"How does your pricing work?","General Inquiry"
"Can you explain your features?","General Inquiry"
"I have a question about your service","General Inquiry"
"What plans do you offer?","General Inquiry"
"How can I contact support?","General Inquiry"
"Do you have a free trial?","General Inquiry"
"What is included in the subscription?","General Inquiry"
"I want to know more about your product","General Inquiry"
"How does this tool work?","General Inquiry"
"Where can I find documentation?","General Inquiry"
"Do you offer discounts?","General Inquiry"
"Can you explain your pricing tiers?","General Inquiry"
"Is there a demo available?","General Inquiry"
"What are your support hours?","General Inquiry"
"How secure is your platform?","General Inquiry"
"Do you integrate with other tools?","General Inquiry"
"What languages do you support?","General Inquiry"
"How can I upgrade my plan?","General Inquiry"
"Can I try this before buying?","General Inquiry"
"What industries do you serve?","General Inquiry"
"Do you have an API?","General Inquiry"
"How do I get started?","General Inquiry"
"Is there a user guide?","General Inquiry"
"Can I customize the service?","General Inquiry"
"Do you offer onboarding help?","General Inquiry"
"Where can I learn more?","General Inquiry"
"How often do you release updates?","General Inquiry"
"What is your refund policy?","General Inquiry"
"How reliable is your service?","General Inquiry"
"Can I schedule a demo?","General Inquiry"
